startup,label,status
&TV Communications,2,operating
-R- Ranch and Mine,2,operating
10 Minutes With,2,operating
10-20 Media,2,operating
1000memories,1,acquired
1000museums.com,2,operating
1001 Menus,2,operating
1006.tv,2,operating
100Plus,1,acquired
100du.tv,2,operating
100e.com,2,operating
10sec,2,operating
121cast,2,operating
121nexus,2,operating
1234ENTER,2,operating
1366 Technologies,2,operating
140 Proof,2,operating
159.com,2,operating
15Five,2,operating
17u.cn,2,operating
19pay,2,operating
1DayLater,2,operating
1EQ,2,operating
1SDK,2,operating
1World Online,2,operating
1jiajie,2,operating
1stdibs,2,operating
2080 Media,2,operating
20lines,2,operating
20x200,2,operating
21viaNet,2,operating
22nd Century Group,2,operating
2345.com,2,operating
23andMe,2,operating
24 Media Network,2,operating
24/7 Card,0,closed
24tidy,2,operating
280 North,1,acquired
2C2P,2,operating
2CRisk,2,operating
2DHeat,2,operating
2U,2,operating
2can,2,operating
2d2c,2,operating
2houses,2,operating
2nd Watch,2,operating
2threads,2,operating
3-V Biosciences,2,operating
33Across,2,operating
360imaging,2,operating
360pi,2,operating
365Scores,2,operating
365looks,2,operating
36Kr,2,operating
39 Health,2,operating
3BaysOver,2,operating
3CLogic,2,operating
3ClickEMR Corporation,0,closed
3D Eye Solutions,2,operating
3D FUTURE VISION II,0,closed
3D Hubs,2,operating
3D Industri.es,2,operating
3D Product Imaging,2,operating
3D Robotics,2,operating
3D Sports Technology,2,operating
3D Systems,2,operating
3DR Laboratories,2,operating
3DSoC,2,operating
3DiVi Company,2,operating
3G Multimedia,2,operating
3GV8 International Inc,2,operating
3Leaf,1,acquired
3P Biopharmaceuticals,2,operating
3Pillar Global,2,operating
3Play Media,2,operating
3Scan,2,operating
3TIER,1,acquired
3VR,2,operating
3X Systems,2,operating
3i Systems,0,closed
3rd Planet,2,operating
3scale,2,operating
4-Tell,2,operating
404 Found!,2,operating
40billion.com,2,operating
41st Parameter,1,acquired
42,2,operating
42Floors,2,operating
46elks,2,operating
480 Biomedical,2,operating
4D Energetics,2,operating
4Home,1,acquired
4INFO,2,operating
4moms,2,operating
4th aspect,2,operating
5 O'Clock Records,2,operating
5 Screens Media,2,operating
500Friends,1,acquired
500px,2,operating
51.com,2,operating
5173.com,2,operating
51Talk,2,operating
51credit.com,2,operating
51edj,2,operating
51fanli,2,operating
51wan,2,operating
55tuan.com,2,operating
56.com,1,acquired
58.com,2,operating
5BARz International,2,operating
5Rocks,1,acquired
5min Media,1,acquired
5to1,1,acquired
60mo,1,acquired
640 Labs,2,operating
6Rooms,2,operating
6Sense,2,operating
6Waves,2,operating
6Wunderkinder,2,operating
6fusion,2,operating
6renyou.com,2,operating
6th Sense Analytics,1,acquired
7 Billion People,0,closed
71lbs,2,operating
7AC Technologies,2,operating
7Road,2,operating
7Summits,2,operating
7digital,1,acquired
7mb Technologies,2,operating
7signal Solutions,2,operating
7write,2,operating
8 Securities,2,operating
800APP,2,operating
818 Sports & Entertainment,2,operating
8D World,0,closed
8bit,2,operating
8hands,0,closed
8packs,2,operating
8thBridge,1,acquired
8tracks Radio,2,operating
9+,2,operating
908 Devices,2,operating
90min,2,operating
91JinRong,2,operating
99Bill,2,operating
99degrees Custom,2,operating
99dresses,2,operating
99tests,2,operating
9DIAMOND,2,operating
9Flava,2,operating
9GAG,2,operating
9Lenses,2,operating
9SLIDES,2,operating
9car Technology LLC,0,closed
9sky.com,2,operating
:Qounter,2,operating
A la Mobile,2,operating
A&G Pharmaceutical,2,operating
A.P Avanashiappa Silk,2,operating
A.P.Pharma,2,operating
A10 Networks,2,operating
A123 Systems,2,operating
A8 Digital Music,2,operating
AA Carpooling Website,2,operating
ABILITY Network,2,operating
ABODO,2,operating
ABPathfinder,2,operating
ABSMaterials,2,operating
ABT Molecular Imaging,2,operating
AC Holdco,2,operating
ACADIA Pharmaceuticals,2,operating
ACAL Energy,2,operating
ACCB Biotech Ltd.,2,operating
ACCO Semiconductor,2,operating
ACE,2,operating
ACHICA,2,operating
ACS Global,2,operating
ACT Biotech,2,operating
ACTIVE Network,1,acquired
ACTON,2,operating
ACTV8me,2,operating
ADAPTIX,1,acquired
ADARA,2,operating
ADENTS HTI,2,operating
ADINCON,2,operating
ADOR,1,acquired
ADR Sales & Concepts,2,operating
ADS-B Technologies,2,operating
ADTZ,2,operating
ADVANCE DISPLAY TECHNOLOGIES,2,operating
ADVANCE Medical,2,operating
ADmantX,2,operating
ADstruc,2,operating
AEGEA Medical,2,operating
AEOLUS PHARMACEUTICALS,2,operating
AFS Technologies,2,operating
AG&P,2,operating
AGLOGIC,2,operating
AGNITiO,2,operating
AHAlife.com,2,operating
AHIKU Corp.,2,operating
AIRSIS,2,operating
AKAMON ENTERTAINMENT,2,operating
ALCOHOOT,2,operating
ALDEA Pharmaceuticals,2,operating
ALICE App,2,operating
ALKALINE WATER,2,operating
ALLO Communications,2,operating
ALPHAThrottle.com,0,closed
ALT Bioscience,2,operating
ALung Technologies,2,operating
AM Pharma,2,operating
AMEC,2,operating
AMEE,2,operating
AMENDIA,2,operating
AMI Entertainment Network,2,operating
AMIA Systems,2,operating
AMOtech,0,closed
AMT (Aircraft Management Technologies),2,operating
ANDalyze,2,operating
ANTERIOS,2,operating
ANTs Software,0,closed
AOBiome,2,operating
AOI Medical,0,closed
AOptix Technologies,2,operating
APImetrics,2,operating
APPEK Mobile Apps,2,operating
ARC Medical Devices,2,operating
ARCA biopharma,2,operating
ARIO Data Networks,2,operating
ARKeX,2,operating
ARMO BioSciences,2,operating
ARPU,0,closed
ARTsys360 Ltd.,2,operating
ARTtwo50,2,operating
ARYx Therapeutics,0,closed
AReflectionOf Inc.,2,operating
ASLAN Pharmaceuticals,2,operating
ASOCS,2,operating
ASPIRE Beverages,2,operating
ASSIA,2,operating
ASSURED PHARMACY,2,operating
AT Internet,2,operating
ATEME,2,operating
ATRP Solutions,2,operating
AVAST Software,2,operating
AVEO Pharmaceuticals,2,operating
AVG Technologies,1,acquired
AVIA,2,operating
AVOB,2,operating
AVST,2,operating
AVentures Capital,2,operating
AW-Energy,2,operating
AXS-One,2,operating
Aardvark,1,acquired
AbGenomics,2,operating
Abakan,2,operating
Abattis Bioceuticals,2,operating
Abazab,2,operating
AbbeyPost,2,operating
Abbott Labs,2,operating
Abcam,2,operating
Abe's Market,2,operating
Abeona Therapeutics,2,operating
AbilTo,2,operating
Abingdon Health,2,operating
Abiquo,2,operating
Abiquo Group,2,operating
Ablative Solutions,2,operating
Able Planet,2,operating
Ablynx,2,operating
Abound Solar,2,operating
AboutOne,2,operating
AboutUs.org,2,operating
Absio,2,operating
Acacia Communications,2,operating
Acacia Pharma,2,operating
Acacia Research,2,operating
Academia.edu,2,operating
Acamica,2,operating
Accedian Networks,2,operating
AccelGolf,0,closed
AccelOps,2,operating
Accela,2,operating
Accelerate Diagnostics,2,operating
Accelerated IO,2,operating
Accelerated Vision Group,2,operating
Accelerize New Media,2,operating
Acceleron Pharma,2,operating
Accelitec,2,operating
Accellion,2,operating
Accellos,2,operating
Accent,2,operating
Accentia Biopharmaceuticals Inc,2,operating
Accept Software,1,acquired
Acceptd,2,operating
Accera,2,operating
Accertify,1,acquired
Access Closure,1,acquired
Access Intelligence,2,operating
Access Mobile,2,operating
Access Network,2,operating
Access Scientific,1,acquired
AccessData,2,operating
AccessSportsMedia.com,2,operating
Accion,2,operating
Accipiter Systems,2,operating
Acclaimd,2,operating
Accolade,2,operating
Accompani,2,operating
AccountNow,2,operating
Accountable,2,operating
Accounting SaaS Japan,2,operating
Accredible,2,operating
Accruent,2,operating
AccuVein,2,operating
Accudial Pharmaceutical,2,operating
Accumetrics,1,acquired
Accumulate,2,operating
Accupass,2,operating
Accurate Group,2,operating
Accurence,2,operating
Accuri Cytometers,2,operating
Accuvant,1,acquired
Ace Metrix,2,operating
AcelRx Pharmaceuticals,2,operating
Acertiv,2,operating
Acetylon Pharmaceuticals,2,operating
Achaogen,2,operating
Achates Power,2,operating
AchieveIt Online,2,operating
Achievers,2,operating
Achronix Semiconductor,2,operating
Aclaris Therapeutics,2,operating
Acorn International,2,operating
Acorns,2,operating
Acousticeye,2,operating
Acquia,2,operating
Acquisio,2,operating
Act-On Software,2,operating
ActSocial,2,operating
ActX,2,operating
Actacell,1,acquired
Acteavo,2,operating
Actelis Networks,2,operating
ActiViews,2,operating
Actifio,2,operating
Actimis Pharmaceuticals,1,acquired
Actimize,1,acquired
Actinium Pharmaceuticals,2,operating
Actinobac Biomed,2,operating
Action Engine,1,acquired
Action Online Entertainment,2,operating
Action Online Publishing,2,operating
Action Products International,2,operating
ActionX,2,operating
Activaero,1,acquired
Activate Healthcare,2,operating
Activate Networks,2,operating
Activation Media,2,operating
Active Endpoints,2,operating
Active Implants,2,operating
Active Life Scientific,2,operating
Active Media,2,operating
Active Storage,0,closed
ActivePath,2,operating
ActiveSec,2,operating
ActiveTrak,2,operating
Activity Rocket,2,operating
ActivityHero,2,operating
Actiwave,2,operating
Acton Pharmaceuticals,1,acquired
ActualMeds,2,operating
AcuFocus,2,operating
Acuitas Medical,2,operating
Acumatica,2,operating
Acumen Holdings,2,operating
Acumen Pharmaceuticals,2,operating
Acumentrics,2,operating
Acunu,2,operating
Acupera,2,operating
Acura Pharmaceuticals,2,operating
Acusphere,2,operating
Acutus Medical,2,operating
Acylin Therapeutics,2,operating
Ad Hoc Labs,2,operating
Ad Infuse,1,acquired
Ad Summos,2,operating
Ad Tech Media Sales,2,operating
Ad.IQ,2,operating
AdAdapted,2,operating
AdCare Health Systems,2,operating
AdChina,2,operating
AdEspresso,2,operating
AdExtent,2,operating
AdGrok,1,acquired
AdKeeper,2,operating
AdLemons,2,operating
AdMob,1,acquired
AdMoment,2,operating
AdNear,2,operating
AdReady,1,acquired
AdRoll,2,operating
AdScale,2,operating
AdScore,2,operating
AdSparx,2,operating
AdStage,2,operating
AdVantage Networks,2,operating
AdXpose,1,acquired
AdYapper,2,operating
AdYouNet,0,closed
Adagio Medical,2,operating
Adallom,2,operating
Adama Innovations,2,operating
Adama Materials,2,operating
Adamas Pharmaceuticals,2,operating
Adamis Pharmaceuticals,2,operating
Adap.tv,1,acquired
Adapta Medical,2,operating
Adapteva,2,operating
Adaptimmune,2,operating
Adaptive Biotechnologies,2,operating
Adaptive Computing,2,operating
"Adaptive Medias, Inc.",2,operating
Adaptive Payments,2,operating
Adaptive Planning,2,operating
Adaptive TCR,0,closed
AdaptiveBlue,2,operating
AdaptiveMobile,2,operating
Adaptivity,1,acquired
Adaptly,2,operating
Adapx,2,operating
Adarza BioSystems,2,operating
Adbrain,2,operating
Adcade,2,operating
Adchemy,1,acquired
Adconion Media Group,1,acquired
Add2paper,2,operating
AddFleet,0,closed
AddIn Social,0,closed
AddThis,2,operating
Addepar,2,operating
Addiction Campuses of America,2,operating
Additech,2,operating
Addvocate,2,operating
Addy,2,operating
Adelja Learning,2,operating
Adelphic Mobile,2,operating
Adenyo,1,acquired
Adept Cloud,1,acquired
Adesto Technologies,2,operating
Adeze,2,operating
Adform,2,operating
AdhereTech,2,operating
Adhezion Biomedical,2,operating
AdiCyte,2,operating
Adial Pharmaceuticals,2,operating
Adify,1,acquired
Adikteev,2,operating
Adility,1,acquired
Adimab,2,operating
Adinch Inc,2,operating
Adioso,2,operating
Adisn,1,acquired
Adjacent Applications,2,operating
Adjudica,2,operating
Adknowledge,2,operating
Adku,1,acquired
Adly,2,operating
Adlyfe,2,operating
Admedo Ltd,2,operating
Admeld,1,acquired
AdmitOne Security,2,operating
AdmitSee,2,operating
Admittedly,2,operating
Adnavance Technologies,2,operating
Adnexus,1,acquired
AdoTube,1,acquired
Adocia,2,operating
Adometry By Google,1,acquired
Adomo,1,acquired
Adonit,2,operating
AdorStyle,2,operating
Adore Me,2,operating
Adpoints,2,operating
Adrenaline Mobility,2,operating
Ads Click,2,operating
Adsame,2,operating
Adsit Media Technology,2,operating
Adskom,2,operating
Adspert | Bidmanagement GmbH,2,operating
Adsvark,2,operating
Adtile Technologies Inc.,2,operating
AdultSpace,2,operating
Adura Technologies,1,acquired
Aduro BioTech,2,operating
AdvanDx,2,operating
Advanced Animal Diagnostics,2,operating
Advanced BioHealing,1,acquired
Advanced BioNutrition,2,operating
Advanced Catheter Therapies,2,operating
Advanced Cell Diagnostics,2,operating
Advanced Cell Technology,2,operating
Advanced Circulatory,2,operating
Advanced ICU Care,2,operating
Advanced Inquiry Systems Inc.,2,operating
Advanced Liquid Logic,1,acquired
Advanced Manufacturing Control Systems,2,operating
Advanced Micro-Fabrication Equipment,2,operating
Advanced Patient Care,2,operating
Advanced Proteome Therapeutics,2,operating
Advanced Search Laboratories,2,operating
Advanced Seismic Technologies,2,operating
Advanced Surgical Concepts,2,operating
Advanced System Designs,2,operating
Advanced Voice Recognition Systems,2,operating
Advanced-Tec,2,operating
Advasense,1,acquired
Adventi,0,closed
Advice Company,2,operating
Advice Wallet,2,operating
AdviceIQ,2,operating
Advision Media,2,operating
Adwanted,2,operating
Adynxx,2,operating
Adyoulike,2,operating
AdzCentral,2,operating
Adzuna,2,operating
Aegerion Pharmaceuticals,2,operating
Aegis,2,operating
Aegis Identity Software,2,operating
Aegis Mobility,2,operating
Aeglea BioTherapeutics,2,operating
Aehr Test Systems,2,operating
Aentropico,2,operating
Aepona,1,acquired
Aereo,2,operating
Aeria Games & Entertainment,2,operating
Aerial BioPharma,2,operating
Aerie Pharmaceuticals,2,operating
Aerin Medical,2,operating
Aero Glass,2,operating
AeroFS,2,operating
AeroFarms,2,operating
AeroSat Corporation,2,operating
AeroScout,1,acquired
Aerohive Networks,2,operating
Aerospike,2,operating
Aerovance,0,closed
Aerpio Therapeutics,2,operating
AesRx,2,operating
Aethlon Medical,2,operating
Aethon,2,operating
Aevi Inc.,2,operating
Affectiva,2,operating
Afferent Pharmaceuticals,2,operating
Affimed Therapeutics,2,operating
Affinegy,2,operating
Affinity,1,acquired
Affinity China,2,operating
Affinity Circles,2,operating
Affinity Networks,2,operating
Affinity Solutions,2,operating
Affinity.is,2,operating
AffinityClick,2,operating
Affinium Pharmaceuticals,1,acquired
Affinnova,2,operating
Affirmed Networks,2,operating
Affle,2,operating
Afluenta,2,operating
Aframe,2,operating
Afraxis,2,operating
Afrifresh Group,2,operating
Afrimarket,2,operating
AfterShip,2,operating
AgInfoLink,0,closed
AgLocal,2,operating
Agari,2,operating
Age of Learning,2,operating
AgeCheq,2,operating
Agency for Student Health Research,2,operating
Agendia,2,operating
Agendize,2,operating
AgeneBio,2,operating
Agent Video Intelligence,2,operating
AgentPair,2,operating
AgentPiggy,2,operating
Agentek,2,operating
